sample,precise,max_cutoff,max_num,error_rate
sample74,90,1,864,0.01761763
sample76,90,1,843,0.01733339
sample70,90,3,1021,0.00053646
sample77,90,1,952,0.01361089
sample7,90,0,0,0.03559662
sample81,90,1,931,0.01217401
sample83,90,1,807,0.01367648
sample82,90,2,228,0.00610687
sample78,90,1,1047,0.00548564
sample80,90,1,970,0.00763444
sample85,90,2,255,0.00510638
sample79,90,1,1039,0.01084959
sample8,90,2,720,0.00716398
sample89,90,2,812,0.00272065
sample88,90,2,164,0.01203052
sample87,90,1,916,0.01495691
sample86,90,1,966,0.00820892
sample90,90,1,962,0.01163617
sample75,90,2,82,0.00518135
sample84,90,1,225,0.01139962
sample9,90,6,1073,0.00035332
sample93,90,1,1019,0.00555386
sample92,90,1,1016,0.00758636
sample94,90,1,1030,0.00545578
sample96,90,2,1030,0.00099492
sample91,90,1,1063,0.00698522
sample95,90,1,1050,0.00499598
sample97,90,1,1038,0.00160065
sample98,90,1,1063,0.00098763
sample99,90,2,1028,0.00084038
